Questions,Answers,Section,Sentence,Keyword
what does swanton pacific ranch provide?,,campus,,
how is swanton pacific ranch used for cal poly?,,campus,,
How is Cal Poly related to Swanton Pacific Ranch?,"Part of the Cal Poly property is the Swanton Pacific Ranch, a 3,200-acre (1,300 ha) ranch located in Santa Cruz County, California, outside the town of Davenport. The ranch provides educational and research opportunities, encompasses rangeland, livestock, and forestry operations for the College of Agriculture, Food, and Environmental sciences, and fosters Cal Poly's Learn by Doing teaching philosophy of with emphasis on sustainable management of agricultural practices with a mix of laboratory experiments.",campus,,
What is the Cal Poly Master Plan?,"The Cal Poly Master Plan calls to increase student population from approximately 17,000 students to 20,900 students by the year 2020–2021.","campus, expansion",,
When was the Baker building built at Cal Poly?,,"campus, expansion, recent construction",,
What are some current and planned construction?,"A $20 million wine and viticulture center is projected to open in 2020.[27] The new $123 million Science and Agriculture Teaching and Research Complex is scheduled to open fall 2021; a renovation of The Robert E. Kennedy Library is expected to begin no sooner than January 2022 and cost $65 million.[28] In addition, the William and Linda Frost Center for Research and Innovation, a $124 million interdisciplinary research center, broke ground in May 2019.[","campus, expansion, current and planned construction",,
How is the parking at Cal Poly?,"Campus parking is limited. In its most recent survey of available parking spaces on campus, the Cal Poly University Police reported 2,892 general purpose parking spaces, 3,492 dorm resident spaces, and 8,648 total spaces.",commuting,,
How many parking space does cal poly have?,,commuting,,
How many bike rack does cal poly have?,,commuting,,
What is SLO Transit?,,commuting,,
How is cal poly organized?,"The university currently offers 65 bachelor's degrees, 39 master's degrees, 84 minors and 13 credentials in six colleges.",introduction,,
What are the colleges at Cal Poly?,"Cal Poly has College of Agriculture, Food and Environmental Sciences
College of Architecture and Environmental Design
Orfalea College of Business
College of Engineering
College of Liberal Arts
College of Science and Mathematics.","academics, colleges",,
What is the senior project at Cal Poly?,All undergraduate students at Cal Poly are required to complete a senior project. The senior project is intended to be a capstone experience for students receiving a baccalaureate degree by integrating theory and application from across a student's undergraduate educational experiences.,"academics, bachelor's projects",,
How hard is cal poly to get in?,"Cal Poly's admissions process is ""more selective"" according to U.S. News & World Report.","academics, admissions",,
How hard is to change the major at cal poly?,,"academics, admissions",,
Do we need to declare major when applying for Cal Poly?,"Yes, Cal Poly requires students to declare a major when applying for admission.","academics, admissions",,
What is the ranking of cal poly?,,"academics, rankings",,
what is the ranking of cal poly computer engineering?,,"academics, rankings",,
How good is cal poly?,,"academics, rankings",,
How good is cal poly return on investment?,"Yes,  According to PayScale's projections, Cal Poly has a 20-year net return on investment of $716,000. This ROI is the 2nd highest in the California State University system and is higher than all of the University of California schools except UC Berkeley.","academics, rankings",,
How much does it cost to go to Cal Poly?,,"financial, tuition",,
How much is the tuition for Cal Poly?,"Due to continued reductions in state funding, Fall 2011 fees for the average student reached approximately $2,600 per quarter.","financial, tuition",,
what is the tution of cal poly?,,"financial, tuition",,
how expensive is cal poly?,,"financial, tuition",,
how much endowment does cal poly have?,,"financial, endowment",,
How is Cal Poly on-campus housing?,"Cal Poly's on-campus student housing of 6,239 spaces is the largest student housing program in the California State University system.","student life, residence halls",,
How many residence halls does Cal Poly have?,There are five distinct groups of residence halls on the Cal Poly campus.,"student life, residence halls",,
what are the residence halls at cal poly?,,"student life, residence halls",,
what fraternities cal poly have?,,"student life, greek life",,
what is the list of sororities at cal poly?,,"student life, greek life",,
what percentage of students are whites at cal poly?,,"student life, racial and economic diversity of student body",,
How diverse is Cal Poly?,"As of 2018, Cal Poly San Luis Obispo has the least racially diverse student population of all California State University and University of California campuses, though it is still far more diverse than the surrounding community it serves.","student life, racial and economic diversity of student body",,
Does Cal Poly football team particiapte in Big West Conference?,Cal Poly's football team competes in the Big Sky Conference.,athletics,,
Which school is the rival of cal poly football?,The Battle for the Golden Horseshoe is an annual rivalry college football game played between the UC Davis Aggies and the Cal Poly Mustangs.,athletics,,
What is blackface incident?,"In 2018, the Lambda Chi Alpha fraternity was suspended following a photo surfacing that showed a student wearing blackface. In response to further protests, President Armstrong suspended all Greek Life on campus indefinitely. This was followed with protests during Open House events for incoming freshmen. On May 4, 2018, President Armstrong announced yet another blackface incident that was mocking the prior incident. The incident is being investigated by the state","incidents and controversies, blackface incident",,
what is poly royal riots?,,"incidents and controversies, poly royal riots",,
what is disappearance of kristin smart?,,"incidents and controversies, disappearance of kristin smart",,
what is crops house incident?,,"incidents and controversies,  crops house incident",,
what is pi kappa alpha fraternity suspension?,,"incidents and controversies, pi kappa alpha fraternity suspension",,
who are the notable alumni of cal poly?,,notable alumni,,
Any notable alumni who played in NBA?,"David Nwaba, shooting guard for the Brooklyn Nets",notable alumni,,
who signed the california polytechnic school bill?,,history,,
